lat,long,name,number
23.777176,90.399452,Dhaka,313
23.8105,90.3372,Dhaka (District) ,22
23.999941,90.420273,Gazipur ,23
24.433123,90.786568,Kishoreganj ,10
23.2393,90.187,Madaripur ,19
23.8617,90.0003,Manikganj ,5
23.622641,90.499794,Narayanganj ,107
23.4981,90.4127,Munshigonj ,14
24.1344,90.786,Narshingdi ,4
23.7639,89.6467,Rajbari ,6
24.3917,89.9948,Tangail ,2
23.2423,90.4348,Shariatpur ,1
23.0488,89.8879,Gopalganj ,3
22.3569,91.7832,Chattogram ,12
21.4272,92.0058,Cox’s bazar ,1
23.4607,91.1809,Cumilla ,9
23.9608,91.1115,B. Baria ,6
22.9447,90.8282,Laksmipur ,1
23.2513,90.8518,Chandpur ,6
24.3095,91.7315,Moulovi Bazar ,1
24.4771,91.4507,Hobiganj ,1
24.8949,91.8687,Sylhet ,1
25.7439,89.2752,Rangpur ,2
25.329,89.5415,Gaibandha ,6
25.8483,88.9414,Nilphamari ,3
25.9923,89.2847,Lalmonirhat ,1
26.0418,88.4283,Thakurgaon ,3
23.6161,88.8263,Chuadanga ,1
24.7471,90.4203,Mymensingh ,5
25.0831,89.7853,Jamalpur ,6
24.8103,90.8656,Netrokona ,1
25.0746,90.1495,Sherpur ,2
22.0953,90.1121,Barguna ,3
22.2249,90.4548,Patuakhali ,1
22.6406,90.1987,Jhalokati ,3
